_key,username,location,postcount,likes,keyword,gender,identity,marriage,region,risk_appetite,education,revenue,deposit,debt,intended_products,label
0,,,,,1.0505159310996532,,,,,,,,,,,0
1,DaryLS,克拉格的住所,5.0,15.0,0.9406389147043228,,,,,,,,,,,2
2,B79,"Temple, TX",1717.0,12551.0,0.9525482393801212,,,,,,,,,,,2
3,a95,,1.0,0.0,0.0,,,,,,,,,,,2
4,541D,Bandung,164.0,5443.0,0.0,,,,,,,,,,,2
5,12417B,,180.0,6.0,1.1386558711528778,,,,,,,,,,,2
6,619bd,,1.0,0.0,0.0,,,,,,,,,,,2
7,F130,,54.0,0.0,0.9406389147043228,,,,,,,,,,,2
8,1438,,1.0,0.0,0.8668267577886581,,,,,,,,,,,2
9,7c71,,4.0,0.0,0.0,,,,,,,,,,,2
10,CCnono,,4.0,11.0,0.0,,,,,,,,,,,2
11,有事说话,,1.0,2.0,0.9425432719290257,,,,,,,,,,,0
12,Jojo姐,,,,0.0,,,,,,,,,,,2
13,da6,,1333.0,1.0,0.0,,,,,,,,,,,2
14,560,,1.0,0.0,0.0,,,,,,,,,,,2
15,bd7,,3.0,0.0,1.064484529197216,,,,,,,,,,,4
16,F0A,,4.0,0.0,0.0,,,,,,,,,,,2
17,B59,Schipluiden,361.0,6.0,0.0,,,,,,,,,,,2
18,bdb,Barcelona,12346.0,3.0,0.0,,,,,,,,,,,0
19,7B8,Riyadh,7.0,0.0,0.0,,,,,,,,,,,2
20,69b,,1.0,0.0,0.0,,,,,,,,,,,2
21,570,"Williamsport, PA",31.0,0.0,0.954142276197672,,,,,,,,,,,4
22,332,"south wales, uk",410.0,14.0,0.0,,,,,,,,,,,2
23,58b,,1.0,0.0,0.0,,,,,,,,,,,2
24,819,JPN.,5262.0,1460.0,0.7943627685308456,,,,,,,,,,,0
25,2ca,,161.0,7.0,0.9913835246115924,,,,,,,,,,,0
26,d99,Indonesia,7748.0,230.0,0.0,,,,,,,,,,,0
27,ead,SF | NY,845.0,6371.0,0.0,,,,,,,,,,,2
28,cdd,Atlanta,92.0,115.0,1.0154992751777172,,,,,,,,,,,0
29,B53,Dublin Ireland,167.0,350.0,0.9374646320939064,,,,,,,,,,,0
30,86b,على قيد أُمنية,218.0,25.0,1.1230454668402672,,,,,,,,,,,2
31,1ee,,114.0,15.0,1.0621961914002895,,,,,,,,,,,2
32,174,,4.0,0.0,0.993150409311056,,,,,,,,,,,0
33,3817,,5.0,0.0,1.0896768048405647,,,,,,,,,,,2
34,6f12,,1232.0,5.0,0.9617349728941916,,,,,,,,,,,2
35,6119,,5.0,18.0,1.0030126087367537,,,,,,,,,,,0
36,b012,,2.0,0.0,0.8958302438259125,,,,,,,,,,,4
37,0625,,71.0,4.0,0.9570992328226566,,,,,,,,,,,2
38,Deb9,,1.0,0.0,0.0,,,,,,,,,,,2
39,13b8,,9.0,0.0,1.274948924779892,,,,,,,,,,,2
40,150c,"横浜市
",599.0,9.0,0.9902247972786428,,,,,,,,,,,0
41,c1b2,,1.0,0.0,0.9461005926132202,,,,,,,,,,,0
42,590A,"Staffordshire, United Kingdom",5.0,1.0,1.0514161996543407,,,,,,,,,,,4
43,C4e8,"10.446194,-66.853089",1.0,21.0,0.8095395863056183,,,,,,,,,,,2
44,B045,,1.0,0.0,1.0559101328253746,,,,,,,,,,,4
45,ba2ac,,5.0,0.0,1.0662049651145935,,,,,,,,,,,2
46,fbcbc,,1.0,0.0,1.0347520224750042,,,,,,,,,,,4
47,89193,札幌市,30.0,2.0,0.0,,,,,,,,,,,2
48,20733,20733,482.0,0.0,0.9997767712920904,,,,,,,,,,,0
49,19a53,,16.0,2.0,0.951548382639885,,,,,,,,,,,4
50,01949B,,14.0,0.0,0.8836959823966026,,,,,,,,,,,2
